Sample ID	Source-PCR-Plate	Run-ID	Project-ID	CGR-Sample-ID	Sample-Type	Sample-Des	Subject-ID	Reciept	Ext-Company	Ext-Kit	Ext-Robotics	Homo-Status	Homo-Method	Homo-Holder	Mag-Col	IR
SC553039	PC22190	Run4	NP0084-MB6	SC553039	Ext_Control	ZymoBiomics	D6310	sFEMB-001-R-044	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Horizontal	Horizontal	Tubes	Magnetic	None
SC553060	PC22190	Run4	NP0084-MB6	SC553060	Ext_Control	Ext_Blank	Water	sFEMB-001-R-049	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	SPEX	SPEX	Plate	Magnetic	None
SC553058	PC22190	Run4	NP0084-MB6	SC553058	Study	human_1	human_1	sFEMB-001-R-049	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	SPEX	SPEX	Plate	Magnetic	None
SC553057	PC22192	Run4	NP0084-MB6	SC553057	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-049	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	SPEX	SPEX	Plate	Magnetic	None
SC553059	PC22190	Run4	NP0084-MB6	SC553059	Ext_Control	ZymoBiomics	D6310	sFEMB-001-R-049	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	SPEX	SPEX	Plate	Magnetic	None
SC553090	PC22190	Run4	NP0084-MB6	SC553090	Ext_Control	Ext_Blank	Water	sFEMB-001-R-054	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Covaris	AFA	Tubes	Magnetic	None
SC553088	PC22190	Run4	NP0084-MB6	SC553088	Study	human_1	human_1	sFEMB-001-R-054	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Covaris	AFA	Tubes	Magnetic	None
SC553087	PC22190	Run4	NP0084-MB6	SC553087	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-054	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Covaris	AFA	Tubes	Magnetic	None
SC553089	PC22192	Run4	NP0084-MB6	SC553089	Ext_Control	ZymoBiomics	D6310	sFEMB-001-R-054	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Covaris	AFA	Tubes	Magnetic	None
SC502454	PC22190	Run4	NP0084-MB6	SC502454	Ext_Control	art_col	DZ35322	sFEMB-001-R-034	Qiagen	DNeasy PowerSoil Pro kit	QIACube HT	Altered	Vertical	Tubes	Column	Solution
SC502445	PC22190	Run4	NP0084-MB6	SC502445	Ext_Control	Ext_Blank	Water	sFEMB-001-R-034	Qiagen	DNeasy PowerSoil Pro kit	QIACube HT	Altered	Vertical	Tubes	Column	Solution
SC502446	PC22192	Run4	NP0084-MB6	SC502446	Ext_Control	Ext_Blank	Water	sFEMB-001-R-034	Qiagen	DNeasy PowerSoil Pro kit	QIACube HT	Altered	Vertical	Tubes	Column	Solution
SC502449	PC22190	Run4	NP0084-MB6	SC502449	Ext_Control	Ext_Blank	Water	sFEMB-001-R-034	Qiagen	DNeasy PowerSoil Pro kit	QIACube HT	Altered	Vertical	Tubes	Column	Solution
SC502450	PC22190	Run4	NP0084-MB6	SC502450	Ext_Control	Ext_Blank	Water	sFEMB-001-R-034	Qiagen	DNeasy PowerSoil Pro kit	QIACube HT	Altered	Vertical	Tubes	Column	Solution
SC502441	PC22192	Run4	NP0084-MB6	SC502441	Study	human_1	human_1	sFEMB-001-R-034	Qiagen	DNeasy PowerSoil Pro kit	QIACube HT	Altered	Vertical	Tubes	Column	Solution
SC502442	PC22192	Run4	NP0084-MB6	SC502442	Study	human_1	human_1	sFEMB-001-R-034	Qiagen	DNeasy PowerSoil Pro kit	QIACube HT	Altered	Vertical	Tubes	Column	Solution
SC502443	PC22190	Run4	NP0084-MB6	SC502443	Study	human_1	human_1	sFEMB-001-R-034	Qiagen	DNeasy PowerSoil Pro kit	QIACube HT	Altered	Vertical	Tubes	Column	Solution
SC502444	PC22192	Run4	NP0084-MB6	SC502444	Study	human_1	human_1	sFEMB-001-R-034	Qiagen	DNeasy PowerSoil Pro kit	QIACube HT	Altered	Vertical	Tubes	Column	Solution
SC502447	PC22190	Run4	NP0084-MB6	SC502447	Study	human_1	human_1	sFEMB-001-R-034	Qiagen	DNeasy PowerSoil Pro kit	QIACube HT	Altered	Vertical	Tubes	Column	Solution
SC502448	PC22192	Run4	NP0084-MB6	SC502448	Study	human_1	human_1	sFEMB-001-R-034	Qiagen	DNeasy PowerSoil Pro kit	QIACube HT	Altered	Vertical	Tubes	Column	Solution
SC502453	PC22190	Run4	NP0084-MB6	SC502453	Study	Robogut	DZ35298	sFEMB-001-R-034	Qiagen	DNeasy PowerSoil Pro kit	QIACube HT	Altered	Vertical	Tubes	Column	Solution
SC502451	PC22190	Run4	NP0084-MB6	SC502451	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-034	Qiagen	DNeasy PowerSoil Pro kit	QIACube HT	Altered	Vertical	Tubes	Column	Solution
SC502452	PC22192	Run4	NP0084-MB6	SC502452	Ext_Control	ZymoBiomics	D6310	sFEMB-001-R-034	Qiagen	DNeasy PowerSoil Pro kit	QIACube HT	Altered	Vertical	Tubes	Column	Solution
SC510683	PC22190	Run4	NP0084-MB6	SC510683	Ext_Control	ZymoBiomics	D6310	sFEMB-001-R-034	Qiagen	DNeasy PowerSoil Pro kit	QIACube HT	Altered	Vertical	Tubes	Column	Solution
SC510684	PC22192	Run4	NP0084-MB6	SC510684	Ext_Control	ZymoBiomics	D6310	sFEMB-001-R-034	Qiagen	DNeasy PowerSoil Pro kit	QIACube HT	Altered	Vertical	Tubes	Column	Solution
SC552982	PC22192	Run4	NP0084-MB6	SC552982	Ext_Control	art_col	DZ35316	sFEMB-001-R-039	Qiagen	DNeasy PowerSoil Pro kit	Manual	Standard	Vertical	Tubes	Column	Solution
SC552976	PC22192	Run4	NP0084-MB6	SC552976	Ext_Control	Ext_Blank	Water	sFEMB-001-R-039	Qiagen	DNeasy PowerSoil Pro kit	Manual	Standard	Vertical	Tubes	Column	Solution
SC552980	PC22190	Run4	NP0084-MB6	SC552980	Ext_Control	Ext_Blank	Water	sFEMB-001-R-039	Qiagen	DNeasy PowerSoil Pro kit	Manual	Standard	Vertical	Tubes	Column	Solution
SC552989	PC22192	Run4	NP0084-MB6	SC552989	Ext_Control	Ext_Blank	Water	sFEMB-001-R-039	Qiagen	DNeasy PowerSoil Pro kit	Manual	Standard	Vertical	Tubes	Column	Solution
SC552983	PC22190	Run4	NP0084-MB6	SC552983	Study	human_1	human_1	sFEMB-001-R-039	Qiagen	DNeasy PowerSoil Pro kit	Manual	Standard	Vertical	Tubes	Column	Solution
SC552985	PC22192	Run4	NP0084-MB6	SC552985	Study	human_1	human_1	sFEMB-001-R-039	Qiagen	DNeasy PowerSoil Pro kit	Manual	Standard	Vertical	Tubes	Column	Solution
SC552978	PC22192	Run4	NP0084-MB6	SC552978	Study	Robogut	DZ35298	sFEMB-001-R-039	Qiagen	DNeasy PowerSoil Pro kit	Manual	Standard	Vertical	Tubes	Column	Solution
SC552987	PC22190	Run4	NP0084-MB6	SC552987	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-039	Qiagen	DNeasy PowerSoil Pro kit	Manual	Standard	Vertical	Tubes	Column	Solution
SC552990	PC22190	Run4	NP0084-MB6	SC552990	Ext_Control	ZymoBiomics	D6310	sFEMB-001-R-039	Qiagen	DNeasy PowerSoil Pro kit	Manual	Standard	Vertical	Tubes	Column	Solution
