"","HHINCOME","VALUEH","EMPSTAT","FTOTINC","INCWELFR","POVERTY","FAMSIZE","NCHILD","MARST-MAR","MARST-SING","MARST-DIV","HIGRADE","EDUC-ELEM","EDUC-SOMEHS","EDUC-SOMECOL","EDUC-COL","EDUC-GRAD","SCHLTYPE-PUB","LANGUAGE","MIGRATE5","VETSTAT","VETWWII","VETWWI","RACESING-WH","RACESING-BL","RACESING-IN","RACESING-AS","RACESING-OT","RACESING-HI"
"NC",0,0.945054945054945,90.3846153846154,34108.3653846154,33.4285714285714,16.2087912087912,316.483516483516,57.967032967033,50.5494505494505,36.8131868131868,5.21978021978022,0,22.5274725274725,14.8351648351648,44.7802197802198,9.61538461538462,9.61538461538462,9.61538461538462,0,94.7802197802198,80.4945054945055,3.02197802197802,0,77.4725274725275,21.978021978022,0.274725274725275,0.274725274725275,0,1.64835164835165
"ND",0,0.785714285714286,102.380952380952,26007,15.4761904761905,2.38095238095238,311.904761904762,52.3809523809524,42.8571428571429,47.6190476190476,0,0,28.5714285714286,11.9047619047619,42.8571428571429,11.9047619047619,11.9047619047619,11.9047619047619,0,95.2380952380952,78.5714285714286,2.38095238095238,0,95.2380952380952,0,4.76190476190476,0,0,0
"OH",0,0.976573938506589,99.4143484626647,37820.3572474378,151.090775988287,20.3513909224012,325.329428989751,61.9326500732064,44.2166910688141,40.2635431918009,7.02781844802343,0,16.8374816983895,15.6661786237189,47.8770131771596,9.51683748169839,9.51683748169839,9.51683748169839,0,93.5578330893119,79.0629575402635,5.85651537335286,0,90.7759882869693,8.34553440702782,0.146412884333821,0.585651537335286,0.146412884333821,1.17130307467057
"OK",0,0.921348314606742,96.0674157303371,33174.2415730337,188.483146067416,16.2921348314607,330.337078651685,65.7303370786517,48.314606741573,39.8876404494382,5.61797752808989,0,24.1573033707865,14.0449438202247,46.6292134831461,7.30337078651685,7.30337078651685,7.30337078651685,0,96.0674157303371,77.5280898876404,4.49438202247191,0,84.8314606741573,3.37078651685393,10.6741573033708,1.12359550561798,0,2.24719101123596
"OR",0,0.988372093023256,100.581395348837,32760.0581395349,57.8255813953488,14.5348837209302,306.395348837209,52.3255813953488,49.4186046511628,34.8837209302326,6.3953488372093,0,15.6976744186047,16.2790697674419,51.7441860465116,5.81395348837209,5.81395348837209,5.81395348837209,0,93.6046511627907,81.3953488372093,5.23255813953488,0,95.3488372093023,1.16279069767442,1.74418604651163,1.74418604651163,0,2.90697674418605
"PA",0,0.962804005722461,98.2832618025751,37280.3676680973,133.244635193133,20.8869814020029,327.753934191702,59.9427753934192,46.4949928469242,39.3419170243205,6.1516452074392,0,17.310443490701,14.0200286123033,46.3519313304721,9.87124463519313,9.87124463519313,9.87124463519313,0,92.4177396280401,79.1130185979971,4.00572246065808,0,93.1330472103004,6.1516452074392,0,0.715307582260372,0,1.85979971387697
"RI",0,1,62.7118644067797,45786.0508474576,139.864406779661,25.4237288135593,359.322033898305,40.6779661016949,37.2881355932203,50.8474576271186,5.08474576271187,0,27.1186440677966,5.08474576271187,42.3728813559322,8.47457627118644,8.47457627118644,8.47457627118644,0,88.135593220339,64.4067796610169,3.38983050847458,0,89.8305084745763,3.38983050847458,0,3.38983050847458,3.38983050847458,0
"SC",0,0.925581395348837,88.3720930232558,30085.7348837209,197.204651162791,12.5581395348837,319.06976744186,57.6744186046512,48.3720930232558,40,3.25581395348837,0,26.046511627907,19.5348837209302,40.4651162790698,6.04651162790698,6.04651162790698,6.04651162790698,0,94.4186046511628,77.6744186046512,1.86046511627907,0,66.046511627907,33.953488372093,0,0,0,0.465116279069767
"SD",0,0.738095238095238,61.9047619047619,26343.6428571429,0,7.14285714285714,352.380952380952,64.2857142857143,52.3809523809524,40.4761904761905,2.38095238095238,0,23.8095238095238,4.76190476190476,40.4761904761905,9.52380952380952,9.52380952380952,9.52380952380952,0,83.3333333333333,69.0476190476191,2.38095238095238,0,90.4761904761905,0,9.52380952380952,0,0,0
"TN",0,0.974358974358974,76.2820512820513,32905.125,80.2692307692308,15.0641025641026,324.358974358974,68.9102564102564,52.8846153846154,36.5384615384615,4.80769230769231,0,22.4358974358974,16.9871794871795,41.3461538461538,7.37179487179487,7.37179487179487,7.37179487179487,0,91.9871794871795,75.3205128205128,4.48717948717949,0,82.6923076923077,16.025641025641,0.641025641025641,0.641025641025641,0,0.641025641025641
"TX",0,0.943702290076336,85.1145038167939,34479.9866412214,107.440839694656,18.7022900763359,354.103053435115,63.9312977099237,43.7977099236641,42.175572519084,7.06106870229008,0,23.6641221374046,11.736641221374,41.8893129770992,8.01526717557252,8.01526717557252,8.01526717557252,0,91.8893129770992,75.381679389313,3.72137404580153,0,85.9732824427481,11.3549618320611,0.763358778625954,1.62213740458015,0.286259541984733,24.4274809160305
"UT",0,0.973451327433628,54.8672566371681,31454.9734513274,80.3716814159292,5.30973451327434,465.486725663717,93.8053097345133,38.0530973451327,53.9823008849557,4.42477876106195,0,23.8938053097345,12.3893805309735,38.9380530973451,5.30973451327434,5.30973451327434,5.30973451327434,0,82.3008849557522,61.9469026548673,0,0,94.6902654867257,0,3.53982300884956,1.76991150442478,0,7.9646017699115
"VT",0,1,68,38132.6,24,20,300,88,72,20,4,0,12,0,68,8,8,8,0,100,92,4,0,100,0,0,0,0,0
"VA",0,0.96927374301676,83.7988826815643,39910.8882681564,99.6899441340782,25.4189944134078,316.480446927374,56.145251396648,42.7374301675978,43.5754189944134,5.3072625698324,0,23.463687150838,11.731843575419,41.340782122905,10.0558659217877,10.0558659217877,10.0558659217877,0,91.8994413407821,77.3743016759776,3.35195530726257,0,76.2569832402235,21.2290502793296,0.279329608938547,2.23463687150838,0,2.79329608938547
"WV",0,0.983660130718954,84.3137254901961,38086.1078431373,67.8235294117647,21.5686274509804,321.56862745098,60.1307189542484,45.0980392156863,41.8300653594771,8.82352941176471,0,17.3202614379085,8.16993464052288,48.6928104575163,11.7647058823529,11.7647058823529,11.7647058823529,0,90.1960784313726,75.8169934640523,5.22875816993464,0,90.1960784313726,4.2483660130719,1.96078431372549,3.59477124183007,0,5.55555555555556
"WI",0,0.824324324324324,118.918918918919,27070.1621621622,0,6.75675675675676,312.162162162162,56.7567567567568,41.8918918918919,37.8378378378378,10.8108108108108,0,25.6756756756757,17.5675675675676,39.1891891891892,5.40540540540541,5.40540540540541,5.40540540540541,0,91.8918918918919,75.6756756756757,5.40540540540541,0,100,0,0,0,0,0
"WY",0,0.961165048543689,76.3754045307443,35498.2588996764,91.2653721682848,13.5922330097087,345.954692556634,62.1359223300971,45.6310679611651,43.042071197411,3.88349514563107,0,21.3592233009709,10.6796116504854,51.1326860841424,4.20711974110032,4.20711974110032,4.20711974110032,0,90.2912621359223,72.8155339805825,1.61812297734628,0,98.0582524271845,1.61812297734628,0,0.323624595469256,0,1.29449838187702
