Sample ID	Source-PCR-Plate	Run-ID	Project-ID	CGR-Sample-ID	Sample-Type	Sample-Des	Subject-ID	Reciept	Ext-Company	Ext-Kit	Ext-Robotics	Homo-Status	Homo-Method	Homo-Holder	Auto-Status	input	filtered	denoised	merged	non-chimeric	D_0__Archaea	D_0__Bacteria	D_0__Eukaryota	Unassigned	frac_filtered	Mag-Col	IR
SC249416-PC04925-A-03	PC04925	Run2	NP0084-MB4	SC249416	Study	human_1	human_1	sFEMB-001-R-005	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	53	48	48	35	35	0	35	0	0	33.96226415	Magnetic	Solution
SC249417	PC04924	Run1	NP0084-MB4	SC249417	Study	Robogut	DZ35298	sFEMB-001-R-005	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	156717	117227	117227	111243	103319	0	103293	0	26	34.07288297	Magnetic	Solution
SC249418-PC04924-E-06	PC04924	Run1	NP0084-MB4	SC249418	Study	human_1	human_1	sFEMB-001-R-006	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	161414	127134	127134	115443	102303	0	102303	0	0	36.62073922	Magnetic	Solution
SC249418-PC04925-B-03	PC04925	Run2	NP0084-MB4	SC249418	Study	human_1	human_1	sFEMB-001-R-006	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	136700	126129	126129	121431	103350	0	103350	0	0	24.39648866	Magnetic	Solution
SC249419-PC04924-F-06	PC04924	Run1	NP0084-MB4	SC249419	Study	human_1	human_1	sFEMB-001-R-006	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	157145	123018	123018	109241	95359	0	95359	0	0	39.31782748	Magnetic	Solution
SC249419-PC04925-C-03	PC04925	Run2	NP0084-MB4	SC249419	Study	human_1	human_1	sFEMB-001-R-006	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	113567	103553	103553	99332	86931	0	86931	0	0	23.45399632	Magnetic	Solution
SC249420-PC04924-G-06	PC04924	Run1	NP0084-MB4	SC249420	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-006	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	156047	108850	108850	100733	85472	0	85472	0	0	45.2267586	Magnetic	Solution
SC249420-PC07578-H-07	PC07578	Run3	NP0084-MB5	SC249420	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-006	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	161378	119162	119162	115146	104215	0	104138	58	19	35.42180471	Magnetic	Solution
SC249421-PC04924-H-06	PC04924	Run1	NP0084-MB4	SC249421	Study	Robogut	DZ35298	sFEMB-001-R-006	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	139689	105427	105427	100393	95798	0	95798	0	0	31.42051271	Magnetic	Solution
SC249421-PC07578-F-02	PC07578	Run3	NP0084-MB5	SC249421	Study	Robogut	DZ35298	sFEMB-001-R-006	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	130223	99543	99543	96919	92889	0	92889	0	0	28.66928269	Magnetic	Solution
SC249422-PC04925-D-03	PC04925	Run2	NP0084-MB4	SC249422	Ext_Control	Ext_Blank	Water	sFEMB-001-R-006	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	5165	4660	4660	4549	4549	0	4544	0	5	11.92642788	Magnetic	Solution
SC249422-PC07578-D-03	PC07578	Run3	NP0084-MB5	SC249422	Ext_Control	Ext_Blank	Water	sFEMB-001-R-006	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	13871	10198	10198	9984	9984	0	9984	0	0	28.02249297	Magnetic	Solution
SC249424	PC07578	Run3	NP0084-MB5	SC249424	Study	human_1	human_1	sFEMB-001-R-006	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	156742	127188	127188	119562	106618	0	106618	0	0	31.97866558	Magnetic	Solution
SC249424-PC04924-B-07	PC04924	Run1	NP0084-MB4	SC249424	Study	human_1	human_1	sFEMB-001-R-006	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	150708	113755	113755	103517	92624	0	92624	0	0	38.54075431	Magnetic	Solution
SC249424-PC04925-E-03	PC04925	Run2	NP0084-MB4	SC249424	Study	human_1	human_1	sFEMB-001-R-006	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	137349	127061	127061	122518	105049	0	105049	0	0	23.51673474	Magnetic	Solution
SC249425	PC04924	Run1	NP0084-MB4	SC249425	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-006	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	131756	91428	91428	83973	71072	0	71050	15	7	46.05786454	Magnetic	Solution
SC249426	PC07578	Run3	NP0084-MB5	SC249426	Study	Robogut	DZ35298	sFEMB-001-R-006	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	168435	130504	130504	127871	125664	0	125664	0	0	25.39317838	Magnetic	Solution
SC249426-PC04924-D-07	PC04924	Run1	NP0084-MB4	SC249426	Study	Robogut	DZ35298	sFEMB-001-R-006	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	154407	112212	112212	106835	101630	0	101630	0	0	34.18044519	Magnetic	Solution
