Sample ID	CGR-Sample-ID	Sample-Type	GM-Rack	VC	QDNA	Yield NG
SC253199-PC04925-E-11	SC253199	Study	PC01914	25.0	29.6	740.8
SC553001	SC553001	Study	PC21458	70.9	31.0	2194.5
SC553092	SC553092	Study	PC21495	148.9	31.0	4612.8
SC253197-PC04925-G-07	SC253197	Study	PC01914	27.0	31.4	847.8
SC253197-PC04925-H-07	SC253197	Study	PC01914	27.0	31.4	847.8
SC553046	SC553046	Study	PC21464	81.9	31.6	2586.2
SC304095	SC304095	Study	PC05752	33.0	31.9	1050.7
SC553029	SC553029	Study	PC21460	157.5	33.7	5299.2
SC552965	SC552965	Study	PC21456	67.9	34.5	2339.4
SC253849	SC253849	Study	PC02231	90.0	39.1	3520.8
SC253849-PC04924-D-11	SC253849	Study	PC02231	90.0	39.1	3520.8
SC253849-PC04925-F-09	SC253849	Study	PC02231	90.0	39.1	3520.8
SC253852	SC253852	Study	PC02231	90.0	39.4	3549.6
SC253852-PC04924-F-11	SC253852	Study	PC02231	90.0	39.4	3549.6
SC253852-PC04925-G-09	SC253852	Study	PC02231	90.0	39.4	3549.6
SC552998	SC552998	Study	PC21458	71.8	39.6	2844.3
SC552979	SC552979	Study	PC21457	64.8	39.9	2588.4
SC553084	SC553084	Study	PC21493	117.9	41.5	4888.7
SC253203-PC04925-G-08	SC253203	Study	PC01914	27.0	42.7	1153.7
SC253203-PC04925-H-08	SC253203	Study	PC01914	27.0	42.7	1153.7
SC249440-PC04924-A-09	SC249440	Study	PC01721	27.0	43.2	1166.1
SC249440-PC04925-G-04	SC249440	Study	PC01721	27.0	43.2	1166.1
SC249435-PC04924-D-08	SC249435	Study	PC01721	27.0	43.4	1172.9
SC249435-PC04925-D-04	SC249435	Study	PC01721	27.0	43.4	1172.9
SC304941	SC304941	Study	PC05934	26.5	43.9	1163.9
SC249364	SC249364	Study	PC01715	25.0	45.8	1144.8
SC249364-PC04924-G-01	SC249364	Study	PC01715	25.0	45.8	1144.8
SC249364-PC04925-C-01	SC249364	Study	PC01715	25.0	45.8	1144.8
SC553000	SC553000	Study	PC21458	67.6	46.6	3154.4
SC249453	SC249453	Study	PC01722	25.0	47.2	1180.3
SC249453-PC04924-E-10	SC249453	Study	PC01722	25.0	47.2	1180.3
SC249453-PC04925-F-05	SC249453	Study	PC01722	25.0	47.2	1180.3
SC304931	SC304931	Study	PC05933	43.0	47.8	2056.7
SC304096	SC304096	Study	PC05752	29.1	50.9	1477.6
SC249430	SC249430	Study	PC01721	25.0	50.9	1273.0
SC249430-PC04924-H-07	SC249430	Study	PC01721	25.0	50.9	1273.0
SC249430-PC04925-H-03	SC249430	Study	PC01721	25.0	50.9	1273.0
SC304925-PC07578-B-08	SC304925	Study	PC05933	36.6	51.2	1870.1
SC304925-PC07578-D-07	SC304925	Study	PC05933	36.6	51.2	1870.1
SC249359-PC04924-B-01	SC249359	Study	PC01715	27.0	53.4	1440.5
SC249359-PC04925-A-01	SC249359	Study	PC01715	27.0	53.4	1440.5
SC552963	SC552963	Study	PC21456	65.2	53.5	3489.3
SC304098	SC304098	Study	PC05752	38.0	53.9	2044.2
SC304091	SC304091	Study	PC05752	41.9	55.2	2316.4
SC249441	SC249441	Study	PC01721	25.0	56.4	1410.8
SC249441-PC04924-B-09	SC249441	Study	PC01721	25.0	56.4	1410.8
SC249441-PC04925-H-04	SC249441	Study	PC01721	25.0	56.4	1410.8
SC253201	SC253201	Study	PC01914	25.0	56.4	1411.0
SC253201-PC04925-D-08	SC253201	Study	PC01914	25.0	56.4	1411.0
SC253201-PC04925-E-08	SC253201	Study	PC01914	25.0	56.4	1411.0
SC502441	SC502441	Study	PC17554	55.6	57.6	3200.9
SC502444	SC502444	Study	PC17554	53.6	58.0	3107.4
SC249369	SC249369	Study	PC01715	25.0	58.4	1459.8
SC249369-PC04924-C-02	SC249369	Study	PC01715	25.0	58.4	1459.8
SC249369-PC04925-E-01	SC249369	Study	PC01715	25.0	58.4	1459.8
SC304939	SC304939	Study	PC05934	31.8	61.1	1939.1
SC249449-PC04924-A-10	SC249449	Study	PC01722	27.0	61.2	1652.7
