Sample ID	Source-PCR-Plate	Run-ID	Project-ID	CGR-Sample-ID	Sample-Type	Sample-Des	Subject-ID	Reciept	Ext-Company	Ext-Kit	Ext-Robotics	Homo-Status	Homo-Method	Homo-Holder	Mag-Col	IR
SC304929	PC07578_B_04	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC304929	Study	human_1	human_1	sFEMB-001-R-016	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304931	PC07578_B_06	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC304931	Study	human_1	human_1	sFEMB-001-R-016	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304930	PC07578_B_05	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC304930	Study	Robogut	DZ35298	sFEMB-001-R-016	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304924-PC07578-A-11	PC07578_A_11	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC304924	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-016	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304924-PC07578-B-07	PC07578_B_07	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC304924	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-016	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304927	PC07578_B_02	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC304927	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-016	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304936	PC07578_B_11	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC304936	Ext_Control	art_col	DZ35322	sFEMB-001-R-017	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Residual	Vertical	Tubes	Magnetic	None
SC304938	PC07578_E_10	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC304938	Ext_Control	Ext_Blank	Water	sFEMB-001-R-017	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Residual	Vertical	Tubes	Magnetic	None
SC304935-PC07578-B-10	PC07578_B_10	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC304935	Study	human_1	human_1	sFEMB-001-R-017	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Residual	Vertical	Tubes	Magnetic	None
SC304935-PC07578-C-06	PC07578_C_06	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC304935	Study	human_1	human_1	sFEMB-001-R-017	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Residual	Vertical	Tubes	Magnetic	None
SC304939	PC07578_C_02	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC304939	Study	human_1	human_1	sFEMB-001-R-017	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Residual	Vertical	Tubes	Magnetic	None
SC304941	PC07578_C_04	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC304941	Study	human_1	human_1	sFEMB-001-R-017	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Residual	Vertical	Tubes	Magnetic	None
SC304940	PC07578_C_03	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC304940	Study	Robogut	DZ35298	sFEMB-001-R-017	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Residual	Vertical	Tubes	Magnetic	None
SC304934-PC07578-C-05	PC07578_C_05	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC304934	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-017	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Residual	Vertical	Tubes	Magnetic	None
