SampleID	Source-PCR-Plate	Run-ID	Project-ID	CGR-Sample-ID	Sample-Type	Sample-Des	Subject-ID	Reciept	Ext-Company	Ext-Kit	Ext-Robotics	Homo-Status	Homo-Method	Homo-Holder	Mag-Col	IR
SC253853	PC04924	SQ-1	NP0084-MB4	SC253853	Ext_Control	Ext_Blank	BW	sFEMB-001-R-011	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC253843-PC04924-F-10	PC04924	SQ-1	NP0084-MB4	SC253843	Study	H01	H01	sFEMB-001-R-011	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC253843-PC04925-B-09	PC04925	SQ-2	NP0084-MB4	SC253843	Study	H01	H01	sFEMB-001-R-011	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC253847-PC04924-B-11	PC04924	SQ-1	NP0084-MB4	SC253847	Study	H01	H01	sFEMB-001-R-011	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC253847-PC04925-E-09	PC04925	SQ-2	NP0084-MB4	SC253847	Study	H01	H01	sFEMB-001-R-011	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC253849	PC07578	SQ-3	NP0084-MB5	SC253849	Study	H01	H01	sFEMB-001-R-011	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC253849-PC04924-D-11	PC04924	SQ-1	NP0084-MB4	SC253849	Study	H01	H01	sFEMB-001-R-011	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC253849-PC04925-F-09	PC04925	SQ-2	NP0084-MB4	SC253849	Study	H01	H01	sFEMB-001-R-011	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC253852	PC07578	SQ-3	NP0084-MB5	SC253852	Study	H01	H01	sFEMB-001-R-011	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC253852-PC04924-F-11	PC04924	SQ-1	NP0084-MB4	SC253852	Study	H01	H01	sFEMB-001-R-011	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC253852-PC04925-G-09	PC04925	SQ-2	NP0084-MB4	SC253852	Study	H01	H01	sFEMB-001-R-011	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC253845	PC07578	SQ-3	NP0084-MB5	SC253845	Study	Robogut	M98	sFEMB-001-R-011	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC253845-PC04924-H-10	PC04924	SQ-1	NP0084-MB4	SC253845	Study	Robogut	M98	sFEMB-001-R-011	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC253845-PC04925-C-09	PC04925	SQ-2	NP0084-MB4	SC253845	Study	Robogut	M98	sFEMB-001-R-011	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC253846	PC07578	SQ-3	NP0084-MB5	SC253846	Study	Robogut	M98	sFEMB-001-R-011	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC253846-PC04924-A-11	PC04924	SQ-1	NP0084-MB4	SC253846	Study	Robogut	M98	sFEMB-001-R-011	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC253846-PC04925-D-09	PC04925	SQ-2	NP0084-MB4	SC253846	Study	Robogut	M98	sFEMB-001-R-011	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC253844	PC04924	SQ-1	NP0084-MB4	SC253844	Ext_Control	ZymoBiomics	Z00	sFEMB-001-R-011	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC253854	PC04924	SQ-1	NP0084-MB4	SC253854	Ext_Control	ZymoBiomics	Z00	sFEMB-001-R-011	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC249434	PC04924	SQ-1	NP0084-MB4	SC249434	Ext_Control	art_col	M22	sFEMB-001-R-007	Qiagen	EX-2	KingFisher	Standard	TissueLyzer	Plate	Magnetic	Solution
SC249439-PC04924-H-08	PC04924	SQ-1	NP0084-MB4	SC249439	Ext_Control	art_col	M22	sFEMB-001-R-007	Qiagen	EX-2	KingFisher	Standard	TissueLyzer	Plate	Magnetic	Solution
SC249439-PC07578-G-07	PC07578	SQ-3	NP0084-MB5	SC249439	Ext_Control	art_col	M22	sFEMB-001-R-007	Qiagen	EX-2	KingFisher	Standard	TissueLyzer	Plate	Magnetic	Solution
SC249431	PC04925	SQ-2	NP0084-MB4	SC249431	Ext_Control	Ext_Blank	BW	sFEMB-001-R-007	Qiagen	EX-2	KingFisher	Standard	TissueLyzer	Plate	Magnetic	Solution
SC249438	PC04924	SQ-1	NP0084-MB4	SC249438	Ext_Control	Ext_Blank	BW	sFEMB-001-R-007	Qiagen	EX-2	KingFisher	Standard	TissueLyzer	Plate	Magnetic	Solution
SC249430	PC07578	SQ-3	NP0084-MB5	SC249430	Study	H01	H01	sFEMB-001-R-007	Qiagen	EX-2	KingFisher	Standard	TissueLyzer	Plate	Magnetic	Solution
SC249430-PC04924-H-07	PC04924	SQ-1	NP0084-MB4	SC249430	Study	H01	H01	sFEMB-001-R-007	Qiagen	EX-2	KingFisher	Standard	TissueLyzer	Plate	Magnetic	Solution
SC249430-PC04925-H-03	PC04925	SQ-2	NP0084-MB4	SC249430	Study	H01	H01	sFEMB-001-R-007	Qiagen	EX-2	KingFisher	Standard	TissueLyzer	Plate	Magnetic	Solution
