"","Yr","Pop","violent","murder","rape1","robbery","aggassault","propcrime","burg","larceny","mvtheft","ST","PopTotal_1970","Pop_Un18_1970","Pop_20to40_1970","Pop_40to60_1970","Pop_60Ov_1970","PopTotal_1975","Pop_Un18_1975","Pop_20to40_1975","Pop_40to60_1975","Pop_60Ov_1975","PopTotal_1980","Pop_Un18_1980","Pop_20to40_1980","Pop_40to60_1980","Pop_60Ov_1980","PopTotal_1985","Pop_Un18_1985","Pop_20to40_1985","Pop_40to60_1985","Pop_60Ov_1985","PopTotal_1990","Pop_Un18_1990","Pop_20to40_1990","Pop_40to60_1990","Pop_60Ov_1990","PopTotal_1995","Pop_Un18_1995","Pop_20to40_1995","Pop_40to60_1995","Pop_60Ov_1995"
"305",1970,1059273,1459,3.4,10.9,53.1,70.3,4063.9,915,2832.7,316.3,"UT",1067600,44.2968340202323,26.6845260397153,18.4537279880105,10.564911952042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306",1970,444732,329,1.3,10.3,7.6,54.6,1823.1,730.6,968.7,123.9,"VT",446649,39.4676804381069,25.2032356503653,20.4178224959644,14.9112614155635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307",1970,4648494,14040,10.4,17.1,95.5,179.1,3363.4,914.6,2134.9,313.9,"VA",4671101,37.8376960806457,28.5515128017998,21.9879210490203,11.6228700685342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308",1970,3409169,7546,3.5,18,93.5,106.3,4659.7,1444.5,2853.5,361.8,"WA",3419974,37.7155498842974,26.7878937091335,22.0338517193406,13.4627046872286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309",1970,1744237,2158,6.2,6.7,27.3,83.5,1254.8,388.5,773.8,92.4,"WV",1749347,37.029245769993,23.4247979388881,23.5752540805226,15.9707022105963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310",1970,4417933,3792,2,6.7,33.1,44,2616.2,538.5,1860.1,217.6,"WI",4426419,39.5756705363862,24.3271818596477,21.1617562639235,14.9353913400426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311",1970,332416,376,5.7,12.3,22,73.1,2859.1,645.9,2048.6,164.6,"WY",333928,39.6468699839486,25.3192304928008,21.9271819074771,13.1067176157735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312",1970,203235298,738820,7.9,18.7,172.1,164.8,3621,1084.9,2079.3,456.8,"USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"521",1975,3614000,14201,16,20.4,123,233.5,3079.6,1163.8,1645.5,270.3,"AL",NA,NA,NA,NA,NA,3680495,36.804234213061,27.8079714820968,20.4941726588407,14.8936216460014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"522",1975,352000,1900,12.2,44.6,129.5,353.4,5656.8,1214.5,3522.4,919.9,"AK",NA,NA,NA,NA,NA,370866,40.0451915247016,38.6206877955919,17.0525203173114,4.28160036239504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
