"","HHINCOME","VALUEH","EMPSTAT","FTOTINC","INCWELFR","POVERTY","FAMSIZE","NCHILD","MARST-MAR","MARST-SING","MARST-DIV","HIGRADE","EDUC-ELEM","EDUC-SOMEHS","EDUC-SOMECOL","EDUC-COL","EDUC-GRAD","SCHLTYPE-PUB","LANGUAGE","MIGRATE5","VETSTAT","VETWWII","VETWWI"
"MD",0,0.821917808219178,106.164383561644,11684.2465753425,29.7945205479452,16.4383561643836,409.554140127389,96.8152866242038,43.9490445859873,46.4968152866242,3.18471337579618,19.1082802547771,36.3057324840764,12.1019108280255,29.2993630573248,3.18471337579618,3.18471337579618,3.18471337579618,0,42.0382165605096,21.656050955414,21.0191082802548,21.0191082802548
"MA",0,0.918181818181818,100,11262.0454545455,11.3636363636364,14.5454545454545,414.146341463415,83.4146341463415,47.3170731707317,42.9268292682927,2.92682926829268,15.609756097561,38.0487804878049,13.1707317073171,32.6829268292683,3.90243902439024,3.90243902439024,3.90243902439024,0,42.4390243902439,17.5609756097561,17.0731707317073,17.0731707317073
"MI",0,0.791139240506329,103.79746835443,12302.5316455696,20.7278481012658,16.7721518987342,413.910761154856,74.8031496062992,43.0446194225722,48.8188976377953,1.83727034120735,12.0734908136483,36.2204724409449,18.8976377952756,28.0839895013123,3.93700787401575,3.93700787401575,3.93700787401575,0,48.5564304461942,16.7979002624672,16.7979002624672,16.7979002624672
"MN",0,0.815126050420168,103.361344537815,11336.974789916,21.0084033613445,19.327731092437,384.297520661157,71.0743801652893,38.8429752066116,47.9338842975207,3.30578512396694,16.5289256198347,42.9752066115703,13.2231404958678,25.6198347107438,3.30578512396694,3.30578512396694,3.30578512396694,0,47.1074380165289,15.702479338843,15.702479338843,15.702479338843
"MS",0,0.758620689655172,81.0344827586207,7681.89655172414,57.7586206896552,5.17241379310345,426.5625,68.75,45.3125,50,1.5625,7.8125,29.6875,18.75,31.25,0,0,0,0,45.3125,14.0625,12.5,12.5
"MO",0,0.764331210191083,96.8152866242038,9649.68152866242,11.4649681528662,9.55414012738854,385.906040268456,63.0872483221477,48.993288590604,44.9664429530201,1.34228187919463,14.0939597315436,38.255033557047,16.7785234899329,34.2281879194631,2.01342281879195,2.01342281879195,2.01342281879195,0,46.3087248322148,20.1342281879195,19.4630872483221,19.4630872483221
"MT",0,0.714285714285714,128.571428571429,10621.4285714286,0,14.2857142857143,391.666666666667,16.6666666666667,41.6666666666667,58.3333333333333,0,8.33333333333333,25,41.6666666666667,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,0,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667
"NE",0,0.828571428571429,120,9097.14285714286,10,20,377.272727272727,43.1818181818182,40.9090909090909,54.5454545454545,0,15.9090909090909,29.5454545454545,15.9090909090909,34.0909090909091,2.27272727272727,2.27272727272727,2.27272727272727,0,38.6363636363636,13.6363636363636,13.6363636363636,13.6363636363636
"NV",0,0.933333333333333,120,11336.6666666667,0,20,456.25,75,37.5,43.75,0,12.5,50,12.5,31.25,0,0,0,0,50,12.5,12.5,12.5
"NH",0,0.782608695652174,78.2608695652174,7678.26086956522,23.9130434782609,4.34782608695652,476.923076923077,42.3076923076923,42.3076923076923,46.1538461538462,0,23.0769230769231,30.7692307692308,11.5384615384615,34.6153846153846,7.69230769230769,7.69230769230769,7.69230769230769,0,50,7.69230769230769,7.69230769230769,7.69230769230769
"NJ",0,0.901140684410646,114.448669201521,12352.0912547529,12.5475285171103,18.2509505703422,392.700729927007,87.956204379562,49.2700729927007,40.1459854014599,1.82481751824817,10.9489051094891,31.7518248175182,18.6131386861314,33.5766423357664,3.64963503649635,3.64963503649635,3.64963503649635,0,45.2554744525547,20.8029197080292,20.0729927007299,20.0729927007299
"NM",0,0.829268292682927,95.1219512195122,9336.58536585366,0,9.75609756097561,406.896551724138,58.6206896551724,51.7241379310345,37.9310344827586,0,10.3448275862069,44.8275862068966,3.44827586206897,27.5862068965517,6.89655172413793,6.89655172413793,6.89655172413793,0,44.8275862068966,27.5862068965517,27.5862068965517,27.5862068965517
"NY",0,0.919655667144907,107.030129124821,11289.6700143472,48.8522238163558,14.9210903873745,389.958734525447,69.050894085282,44.7042640990371,47.7303988995873,1.65061898211829,15.4057771664374,33.7001375515818,18.2943603851444,30.5364511691884,4.40165061898212,4.40165061898212,4.40165061898212,0,44.8418156808803,17.0563961485557,17.0563961485557,17.0563961485557
"NC",0,0.736040609137056,103.553299492386,8843.65482233503,8.62944162436548,8.62944162436548,391.935483870968,63.9784946236559,40.3225806451613,50,2.68817204301075,12.9032258064516,39.7849462365591,20.9677419354839,25.8064516129032,4.83870967741935,4.83870967741935,4.83870967741935,0,46.2365591397849,20.4301075268817,18.2795698924731,18.2795698924731
"ND",0,0.857142857142857,150,6603.57142857143,0,7.14285714285714,350,25,50,50,0,12.5,37.5,0,50,0,0,0,0,37.5,12.5,12.5,12.5
"OH",0,0.804878048780488,93.1707317073171,10533.0487804878,19.1463414634146,12.6829268292683,414.39588688946,76.6066838046273,42.6735218508997,48.3290488431877,3.08483290488432,11.3110539845758,38.8174807197943,19.280205655527,27.7634961439589,3.34190231362468,3.34190231362468,3.34190231362468,0,43.4447300771208,16.452442159383,16.452442159383,16.452442159383
"OK",0,0.685714285714286,109.52380952381,10249.0476190476,19.047619047619,12.3809523809524,366.666666666667,50,38.0952380952381,53.5714285714286,1.19047619047619,14.2857142857143,39.2857142857143,15.4761904761905,27.3809523809524,2.38095238095238,2.38095238095238,2.38095238095238,0,45.2380952380952,16.6666666666667,16.6666666666667,16.6666666666667
"OR",0,0.711864406779661,81.3559322033898,10398.3050847458,27.9661016949153,15.2542372881356,336.231884057971,88.4057971014493,43.4782608695652,44.9275362318841,2.89855072463768,18.8405797101449,28.9855072463768,14.4927536231884,42.0289855072464,4.34782608695652,4.34782608695652,4.34782608695652,0,43.4782608695652,21.7391304347826,21.7391304347826,21.7391304347826
"PA",0,0.695744680851064,98.7234042553192,10127.9787234043,50.4255319148936,13.1914893617021,400.659340659341,69.010989010989,45.4945054945055,44.3956043956044,2.1978021978022,12.5274725274725,31.4285714285714,19.1208791208791,33.1868131868132,3.73626373626374,3.73626373626374,3.73626373626374,0,46.5934065934066,22.1978021978022,22.1978021978022,22.1978021978022
"RI",0,0.875,184.375,11004.6875,0,12.5,363.636363636364,93.9393939393939,48.4848484848485,36.3636363636364,0,18.1818181818182,36.3636363636364,3.03030303030303,36.3636363636364,6.06060606060606,6.06060606060606,6.06060606060606,0,60.6060606060606,21.2121212121212,21.2121212121212,21.2121212121212
"SC",0,0.697674418604651,105.813953488372,7908.72093023256,14.5348837209302,5.81395348837209,466.233766233766,48.0519480519481,50.6493506493506,42.8571428571429,0,10.3896103896104,41.5584415584416,15.5844155844156,20.7792207792208,3.8961038961039,3.8961038961039,3.8961038961039,0,46.7532467532467,12.987012987013,11.6883116883117,11.6883116883117
"SD",0,0.75,118.75,7309.375,9.375,6.25,421.428571428571,42.8571428571429,35.7142857142857,42.8571428571429,0,7.14285714285714,57.1428571428571,14.2857142857143,28.5714285714286,0,0,0,0,35.7142857142857,14.2857142857143,14.2857142857143,14.2857142857143
"TN",0,0.758620689655172,103.448275862069,9376.29310344828,23.2758620689655,7.75862068965517,401.709401709402,70.0854700854701,47.008547008547,42.7350427350427,2.56410256410256,12.8205128205128,36.7521367521368,15.3846153846154,33.3333333333333,4.27350427350427,4.27350427350427,4.27350427350427,0,50.4273504273504,19.6581196581197,19.6581196581197,19.6581196581197
"TX",0,0.655405405405405,116.666666666667,10106.981981982,10.3603603603604,12.6126126126126,419.376391982183,79.7327394209354,46.3251670378619,44.543429844098,2.2271714922049,15.1447661469933,37.6391982182628,17.1492204899777,26.2806236080178,4.00890868596882,4.00890868596882,4.00890868596882,0,45.8797327394209,18.2628062360802,18.0400890868597,18.0400890868597
"UT",0,0.633333333333333,50,12710,15,10,470.731707317073,65.8536585365854,43.9024390243902,48.780487804878,2.4390243902439,14.6341463414634,34.1463414634146,21.9512195121951,29.2682926829268,4.8780487804878,4.8780487804878,4.8780487804878,0,41.4634146341463,12.1951219512195,12.1951219512195,12.1951219512195
"VT",0,1,100,9983.33333333333,0,16.6666666666667,485.714285714286,0,42.8571428571429,57.1428571428571,0,28.5714285714286,42.8571428571429,14.2857142857143,28.5714285714286,14.2857142857143,14.2857142857143,14.2857142857143,0,42.8571428571429,28.5714285714286,28.5714285714286,28.5714285714286
"VA",0,0.780487804878049,104.268292682927,10344.2073170732,15.2439024390244,15.8536585365854,389.189189189189,56.7567567567568,43.2432432432432,46.6216216216216,1.35135135135135,12.1621621621622,45.945945945946,13.5135135135135,28.3783783783784,2.02702702702703,2.02702702702703,2.02702702702703,0,41.8918918918919,9.45945945945946,8.78378378378378,8.78378378378378
"WV",0,0.878504672897196,107.476635514019,10569.6261682243,59.8130841121495,12.1495327102804,417.272727272727,79.0909090909091,50.9090909090909,43.6363636363636,2.72727272727273,15.4545454545455,35.4545454545455,13.6363636363636,33.6363636363636,4.54545454545455,4.54545454545455,4.54545454545455,0,37.2727272727273,10,10,10
"WI",0,0.714285714285714,108.163265306122,7653.0612244898,51.0204081632653,10.2040816326531,382.5,125,40,55,0,12.5,37.5,7.5,30,2.5,2.5,2.5,0,52.5,22.5,22.5,22.5
"WY",0,0.801242236024845,95.6521739130435,12325.1552795031,8.69565217391304,15.527950310559,420.245398773006,90.7975460122699,55.2147239263804,38.0368098159509,2.45398773006135,11.6564417177914,37.4233128834356,19.0184049079755,34.9693251533742,1.84049079754601,1.84049079754601,1.84049079754601,0,46.0122699386503,17.7914110429448,17.7914110429448,17.7914110429448
