Yr,Pop,violent,murder,rape1,robbery,aggassault,propcrime,burg,larceny,mvtheft
1969,4641000,11235,11.9,17.1,62.4,150.7,2157.4,701.5,1182.9,273
1969,794000,684,3.4,12.2,35.5,35,4446.7,1304.8,2606,535.9
1969,718000,806,1.9,10,16.7,83.6,2616,590,1894.6,131.5
1969,11047000,49543,8.6,19.1,236.7,184,3020,738.7,1806.8,474.5
1969,5118000,10141,5,16.9,93.6,82.7,2891.2,819,1677.8,394.5
1969,2781000,1918,1.4,6.4,22.4,38.8,2183.5,489.1,1516.9,177.5
1969,2321000,3873,3.5,15.1,54.8,93.5,2971.2,693.3,2049.9,228
1969,3232000,5745,10.4,11.4,69.2,86.7,1987.1,569.3,1072,345.9
1969,3745000,13492,9.5,22.1,102.6,226,2391.8,694.6,1373.1,324.2
1969,978000,733,1.6,5.9,11.3,56,1866.3,580,1142.7,143.6
1969,3765000,24295,9.3,29.9,294.4,311.7,3928,1114.7,2220.7,592.6
1969,5467000,10272,3.5,10.8,90.6,82.9,3290.7,1032.6,1399.3,858.8
1969,8766000,44048,8.8,32.3,265.1,196.3,4301.7,1315.5,2485,501.2
1969,3700000,5253,1.9,11.5,81.5,47.1,2934.7,779.4,1771,384.3
1969,2363000,3354,8.1,9.1,14.6,110.1,952.6,316.5,563.3,72.9
1969,4651000,18260,10.4,27.3,182.4,172.5,3786.6,1118.8,2089.2,578.5
1969,694000,682,3.6,11.1,22.2,61.4,2591.4,561.8,1813.7,215.9
1969,1449000,2302,2.5,6.8,51.8,97.8,2292.4,482.3,1525.6,284.5
1969,457000,1642,9,20.6,170.9,158.9,4786.4,1366.5,2859.7,560.2
1969,717000,325,2.5,4,10.5,28.3,1465.3,463.3,858.7,143.2
1969,7148000,17226,5.2,12.8,135.1,87.9,2989.7,953,1515.6,521
1969,994000,2881,6.3,25.1,65.1,193.4,4222.6,1230.8,2577.7,414.2
1969,18321000,105870,7.2,15.8,353.4,201.4,3991.8,1356.2,2005.7,629.9
1969,5205000,18117,11.3,11.9,43.1,281.8,1903.6,611,1126.1,166.5
1969,615000,220,0.2,4.1,7.2,24.4,1450.1,249.3,1105.7,95.1
1969,10740000,26648,6.4,15.3,126.7,99.8,2886.1,740.1,1663.9,482.1
1969,2568000,4775,5.8,14.3,49.4,116.5,2431.6,724.1,1462.7,244.7
1969,2032000,4527,4,18.3,86.6,113.9,3987,1124.7,2543.9,318.5
1969,11803000,22887,4.1,12.1,90.6,87.1,1823.9,577.7,941.4,304.8
1969,911000,1594,3.1,4,73.4,94.5,3953.8,982.4,2148.2,823.2
1969,2692000,6449,12.5,14,50,163,2311.6,806.5,1266.7,238.4
1969,659000,510,2,11.1,12.9,51.4,1754.5,425,1223.5,105.9
1969,3985000,9235,9.6,12.7,75.2,134.3,1972.4,715,975.8,281.6
1969,11187000,36707,11.3,19.2,116.6,180.9,3639.4,1091.9,2160.8,386.6
1969,1045000,1460,2.5,14.1,49,74.2,3888.2,848.5,2742,297.7
1969,439000,234,2.5,9.1,9.3,32.3,1518,599.5,805.5,113
1969,4669000,12433,7.3,16.4,81,161.6,2741.8,760.2,1690.1,291.4
1969,3402000,8243,3.6,19.4,113,106.3,4393.5,1296.5,2716.4,380.7
1969,1819000,1766,5.6,5.1,19.1,67.3,1007.7,322.7,599.6,85.4
1969,4233000,3411,2.1,7.2,28.3,43.1,2407.5,498.5,1685.1,223.9
1969,320000,286,10.3,11.6,15.9,51.6,2612.2,565,1870,177.2
1969,201385000,661870,7.3,18.5,148.4,154.5,3351.3,984.1,1930.9,436.2
1970,3444165,10185,11.7,18.5,50.3,215.2,2183.8,776.4,1184,223.5
1970,302173,840,12.2,26.1,71.8,167.8,3523.8,789.9,2182.5,551.3
1970,1772482,6564,9.5,27,120.2,213.7,5543.9,1493,3549.7,501.2
1970,1923295,4276,10.1,17.1,45.6,149.5,2198.8,759.4,1320,119.4
1970,19953134,94741,6.9,35.1,206.9,225.9,5864.3,1753,3422.1,689.2
1970,2207259,7874,6.2,36,129.1,185.4,4961.4,1380.9,2992.1,588.4
1970,3032217,5167,3.5,9.1,70.4,87.4,3319,1084.2,1750.7,484.2
1970,548104,1795,7.7,18.6,105.5,195.8,3935.6,1056.2,2320.4,559
1970,756510,16846,29.2,95.2,1561.9,540.5,8656.6,2873.7,4314.3,1468.6
1970,6789443,33824,12.7,22.2,186.1,277.2,4819,1561.8,2860.6,396.6
1970,4589575,13976,15.3,16.1,95.8,177.3,2577.1,899.9,1368.6,308.6
1970,769913,938,3.6,11.8,63.3,43.1,5143.3,1456.1,3106.1,581.1
1970,713008,879,4.6,12.3,20.5,85.8,3031.5,673.6,2213.7,144.2
1970,11113976,52006,9.6,20.4,251.1,186.8,3311.6,765.4,2028.4,517.8
1970,5193669,12184,4.9,19.9,110.3,99.6,3250.3,925.8,1874.2,450.3
1970,2825041,2241,1.9,6.2,28.5,42.8,2425.8,507.3,1743.4,175
1970,2249071,4561,4.8,14.5,75.1,108.5,3440.8,881.7,2302.5,256.6
1970,3219311,7157,11.1,13.7,72.8,124.7,2261.8,703.9,1211.5,346.3
1970,3643180,15063,11.7,23.1,140.8,237.8,2902.5,890,1627.7,384.7
1970,993663,887,1.5,7,12.6,68.1,1970.7,638.5,1179.6,152.6
1970,3922399,24512,9.2,23.9,338.6,253.3,4016.1,1051.2,2417.3,547.6
1970,5689170,11542,3.5,12,99.5,87.9,3543.4,1134.1,1531.2,878.1
1970,8875083,51090,9.4,27.1,346.6,192.7,4931.8,1570.7,2897.1,464
1970,3805069,5782,2,9.7,89.1,51.2,3048.9,801.7,1901.5,345.7
1970,2216912,3974,11.5,8.9,19,139.8,1123.1,351.2,693.6,78.4
1970,4677399,18986,10.7,27.4,200.8,167,3748.8,1137,2073.9,537.8
1970,694409,774,3.2,10.5,22.3,75.5,2771.4,593.7,1955.9,221.8
1970,1483791,2731,3,9.3,57.3,114.5,2368.9,504.5,1572.5,291.9
1970,488738,1948,8.8,19.6,188.4,181.7,5365.2,1660.6,3044,660.7
1970,737681,413,2,6,12.1,35.9,1666.2,565.6,928.6,172
1970,7168164,20583,5.7,12.9,169.4,99,3288.2,1041.4,1689.4,557.4
1970,1016000,3093,9.6,22.3,67.6,204.8,4131.6,1196.5,2532.4,402.8
1970,18190740,124613,7.9,15.8,446.1,215.2,4286.3,1470.4,2125,690.9
1970,5082059,18814,11.7,12.9,52.3,293.2,2272.5,765.8,1338.9,167.8
1970,617761,211,0.5,6.2,6.5,21,1672.3,286.4,1295,91
1970,10652017,30279,6.6,16,145.9,115.9,3290.1,853.9,1943.5,492.8
1970,2559253,5194,5.9,15.6,54.7,126.7,2774.4,835.4,1659.6,279.3
1970,2091385,5373,4.6,18,102.5,131.7,4431.3,1273.4,2825,332.8
1970,11793909,25970,5.4,11.9,108.6,94.2,1965.6,599.7,1020.7,345.2
1970,949723,1944,3.2,3.6,78.3,119.6,4064.1,1018.9,2186.2,859
1970,2590516,7412,14.6,18,60.1,193.4,2772,1019.4,1495.5,257.1
1970,666257,616,3.8,11.1,17.1,60.5,1961.1,471.3,1396.2,93.7
1970,3924164,10787,8.8,15.5,82,168.6,2120.7,806.7,1024.7,289.3
1970,11196000,40897,11.6,20.8,136.5,196.4,3808.1,1159.9,2242.7,405.4
1970,1059273,1459,3.4,10.9,53.1,70.3,4063.9,915,2832.7,316.3
1970,444732,329,1.3,10.3,7.6,54.6,1823.1,730.6,968.7,123.9
1970,4648494,14040,10.4,17.1,95.5,179.1,3363.4,914.6,2134.9,313.9
1970,3409169,7546,3.5,18,93.5,106.3,4659.7,1444.5,2853.5,361.8
1970,1744237,2158,6.2,6.7,27.3,83.5,1254.8,388.5,773.8,92.4
1970,4417933,3792,2,6.7,33.1,44,2616.2,538.5,1860.1,217.6
1970,332416,376,5.7,12.3,22,73.1,2859.1,645.9,2048.6,164.6
1970,203235298,738820,7.9,18.7,172.1,164.8,3621,1084.9,2079.3,456.8
1971,3479000,10835,15.1,19,57.6,219.7,2187,791.8,1173.9,221.2
1971,313000,1112,13.4,43.5,67.1,231.3,3809.3,848.6,2438,522.7
1971,1849000,7407,6.7,29.9,113.3,250.7,5540.9,1435.9,3654.2,450.8
1971,1944000,4680,10.5,17.1,48.7,164.5,2087.5,720.9,1243.5,123.1
