"Yr","Pop","violent","murder","rape1","robbery","aggassault","propcrime","burg","larceny","mvtheft","ST","PopTotal_1970"
"822",1980,688217,873,0.7,12.5,20.1,93.6,3116.3,692.5,2255.2,168.6,"SD",NA
"823",1980,4545590,20824,10.8,37.4,180.6,229.4,4039.8,1501.5,2175.2,363.1,"TN",NA
"824",1980,14169829,77978,16.9,47.3,208.5,277.6,5592.7,1853.2,3181.4,558.1,"TX",NA
"825",1980,1458729,4425,3.8,27.7,80.2,191.7,5577.3,1321.9,3931.8,323.6,"UT",NA
"826",1980,511299,914,2.2,29.1,38.9,108.5,4809.7,1526.7,2988.1,294.9,"VT",NA
"827",1980,5323412,16355,8.6,27.4,120.1,151.1,4312.8,1202.6,2882.3,227.9,"VA",NA
"828",1980,4113331,19098,5.5,52.7,135.1,271,6450.7,1862.2,4192.9,395.6,"WA",NA
"829",1980,1930787,3547,7.1,15.8,48.5,112.2,2367.9,738.5,1429.8,199.7,"WV",NA
"830",1980,4680917,8546,2.9,14.9,70.7,94.1,4616,1079.4,3291.4,245.2,"WI",NA
"831",1980,468954,1841,6.2,28.6,44.4,313.5,4593.8,903.7,3344.9,345.2,"WY",NA
"832",1980,225349264,1344520,10.2,36.8,251.1,298.5,5353.3,1684.1,3167,502.2,"USA",NA
